DATE,IPG2211A2NQ
1939-01-01,3.3759
1939-04-01,3.4777
1939-07-01,3.5795
1939-10-01,3.6813
1940-01-01,3.7576
1940-04-01,3.8255
1940-07-01,3.9188
1940-10-01,4.0630
1941-01-01,4.1732
1941-04-01,4.3174
1941-07-01,4.4701
1941-10-01,4.5974
1942-01-01,4.7755
1942-04-01,4.8179
1942-07-01,5.0130
1942-10-01,5.1148
1943-01-01,5.1996
1943-04-01,5.3692
1943-07-01,5.5474
1943-10-01,5.6746
1944-01-01,5.7340
1944-04-01,5.8527
1944-07-01,5.8103
1944-10-01,5.7933
1945-01-01,5.9206
1945-04-01,5.9630
1945-07-01,5.9036
1945-10-01,5.8018
1946-01-01,5.8527
1946-04-01,5.9969
1946-07-01,6.2514
1946-10-01,6.4380
1947-01-01,6.5398
1947-04-01,6.4465
1947-07-01,6.5992
1947-10-01,6.9300
1948-01-01,7.4219
1948-04-01,7.1420
1948-07-01,7.3371
1948-10-01,7.7273
1949-01-01,7.9902
1949-04-01,7.6000
1949-07-01,7.8291
1949-10-01,8.1768
1950-01-01,8.8385
1950-04-01,8.7112
1950-07-01,8.9572
1950-10-01,9.4577
1951-01-01,10.1786
1951-04-01,10.0090
1951-07-01,10.2635
1951-10-01,10.5688
1952-01-01,11.1795
1952-04-01,10.6536
1952-07-01,11.1202
1952-10-01,11.5528
1953-01-01,12.0362
1953-04-01,11.8327
1953-07-01,12.1804
1953-10-01,12.2229
1954-01-01,12.9014
1954-04-01,12.4943
1954-07-01,13.1135
1954-10-01,13.4104
1955-01-01,14.2416
1955-04-01,13.9278
1955-07-01,14.7845
1955-10-01,15.1153
1956-01-01,16.0229
1956-04-01,15.5818
1956-07-01,16.0483
1956-10-01,16.0653
1957-01-01,17.0492
1957-04-01,16.4215
1957-07-01,17.3970
1957-10-01,17.1680
1958-01-01,17.9399
1958-04-01,16.9983
1958-07-01,18.1519
1958-10-01,18.1265
1959-01-01,19.4667
1959-04-01,18.9408
1959-07-01,20.1367
1959-10-01,19.8314
1960-01-01,21.2564
1960-04-01,20.2725
1960-07-01,21.4685
1960-10-01,20.8408
1961-01-01,21.8841
1961-04-01,21.3243
1961-07-01,22.8765
1961-10-01,22.4778
1962-01-01,23.8774
1962-04-01,22.8850
1962-07-01,24.5136
1962-10-01,23.9113
1963-01-01,25.5145
1963-04-01,24.4118
1963-07-01,26.4899
1963-10-01,25.3703
1964-01-01,27.2024
1964-04-01,26.5917
1964-07-01,29.1448
1964-10-01,27.5756
1965-01-01,29.0685
1965-04-01,28.2288
1965-07-01,30.6547
1965-10-01,29.3484
1966-01-01,31.0958
1966-04-01,30.0524
1966-07-01,33.6828
1966-10-01,31.4435
1967-01-01,33.2820
1967-04-01,31.8961
1967-07-01,33.4362
1967-10-01,33.8294
1968-01-01,35.9513
1968-04-01,34.2901
1968-07-01,36.8191
1968-10-01,36.2306
1969-01-01,39.0450
1969-04-01,36.9279
1969-07-01,40.5443
1969-10-01,39.3083
1970-01-01,41.7868
1970-04-01,39.8328
1970-07-01,43.2221
1970-10-01,40.5821
1971-01-01,43.3661
1971-04-01,41.3060
1971-07-01,44.9177
1971-10-01,43.8527
1972-01-01,48.1679
1972-04-01,42.8291
1972-07-01,46.0384
1972-10-01,47.3016
1973-01-01,52.6798
1973-04-01,45.7075
1973-07-01,49.4123
1973-10-01,47.5305
1974-01-01,50.9836
1974-04-01,45.7567
1974-07-01,49.6180
1974-10-01,48.5312
1975-01-01,53.2735
1975-04-01,46.8939
1975-07-01,49.9788
1975-10-01,48.9088
1976-01-01,55.9707
1976-04-01,47.4941
1976-07-01,51.3863
1976-10-01,53.5907
1977-01-01,59.9058
1977-04-01,49.9547
1977-07-01,54.1484
1977-10-01,53.2652
1978-01-01,61.9461
1978-04-01,50.7627
1978-07-01,55.1904
1978-10-01,54.8367
1979-01-01,65.0783
1979-04-01,52.5099
1979-07-01,54.9387
1979-10-01,54.9936
1980-01-01,62.7245
1980-04-01,51.0038
1980-07-01,58.0094
1980-10-01,57.3504
1981-01-01,63.3727
1981-04-01,53.4818
1981-07-01,58.3285
1981-10-01,57.0801
1982-01-01,63.9352
1982-04-01,51.4424
1982-07-01,55.1076
1982-10-01,54.0235
1983-01-01,59.9023
1983-04-01,50.5164
1983-07-01,58.2239
1983-10-01,57.5266
1984-01-01,66.5889
1984-04-01,55.9913
1984-07-01,59.4692
1984-10-01,57.5379
1985-01-01,67.6860
1985-04-01,56.2384
1985-07-01,61.3678
1985-10-01,60.2408
1986-01-01,66.9987
1986-04-01,56.8639
1986-07-01,62.9520
1986-10-01,60.9155
1987-01-01,68.9741
1987-04-01,60.2120
1987-07-01,66.8385
1987-10-01,63.6751
1988-01-01,74.5145
1988-04-01,63.1323
1988-07-01,71.1970
1988-10-01,66.5809
1989-01-01,75.0342
1989-04-01,64.9421
1989-07-01,71.9168
1989-10-01,72.1438
